branch,input_ng,rt_bin,phospho_sum_mean
woCleanup,200,12.25,3273628.9400464296
woCleanup,200,12.75,2530700.193303138
woCleanup,200,13.25,2517890.8124099374
woCleanup,200,13.75,1887938.124346733
woCleanup,200,14.25,816733.7366611063
woCleanup,200,14.75,237833.93527793884
woCleanup,200,15.25,67521.75031504035
woCleanup,200,15.75,147.76080334186554
woCleanup,500,4.25,2698292.459507793
woCleanup,500,4.75,6477504.077095717
woCleanup,500,5.25,10244736.693961263
woCleanup,500,5.75,10944498.705148607
woCleanup,500,6.25,9071788.726556778
woCleanup,500,6.75,12231339.973090917
woCleanup,500,7.25,9713970.481099486
woCleanup,500,7.75,10189423.230659336
woCleanup,500,8.25,9186906.532093942
woCleanup,500,8.75,8785631.269835025
woCleanup,500,9.25,7342811.063758433
woCleanup,500,9.75,11955731.684155315
woCleanup,500,10.25,7622087.38893497
woCleanup,500,10.75,7726863.369407296
woCleanup,500,11.25,8027147.794277132
woCleanup,500,11.75,8177178.236589342
woCleanup,500,12.25,7245778.905705988
woCleanup,500,12.75,6744741.244463742
woCleanup,500,13.25,6838688.801833332
woCleanup,500,13.75,4794628.75813365
woCleanup,500,14.25,2597798.7587328255
